industry,industry_label.value,EarnS,year,quarter
52,Finance and Insurance,6633,2010,1
54,"Professional, Scientific, and Technical Services",3409,2010,1
52,Finance and Insurance,4996,2010,2
54,"Professional, Scientific, and Technical Services",3560,2010,2
52,Finance and Insurance,6279,2010,2
54,"Professional, Scientific, and Technical Services",3868,2010,2
52,Finance and Insurance,16068,2010,2
54,"Professional, Scientific, and Technical Services",9110,2010,2
52,Finance and Insurance,4838,2010,2
54,"Professional, Scientific, and Technical Services",3658,2010,2
52,Finance and Insurance,4861,2010,3
54,"Professional, Scientific, and Technical Services",3657,2010,3
52,Finance and Insurance,6253,2010,3
54,"Professional, Scientific, and Technical Services",3880,2010,3
52,Finance and Insurance,13452,2010,3
54,"Professional, Scientific, and Technical Services",9093,2010,3
52,Finance and Insurance,4647,2010,3
54,"Professional, Scientific, and Technical Services",3761,2010,3
52,Finance and Insurance,5260,2010,4
54,"Professional, Scientific, and Technical Services",5071,2010,4
52,Finance and Insurance,6460,2010,4
54,"Professional, Scientific, and Technical Services",5606,2010,4
52,Finance and Insurance,19316,2010,4
54,"Professional, Scientific, and Technical Services",11290,2010,4
52,Finance and Insurance,5263,2010,4
54,"Professional, Scientific, and Technical Services",4344,2010,4
52,Finance and Insurance,10205,2011,1
54,"Professional, Scientific, and Technical Services",3382,2011,1
52,Finance and Insurance,15102,2011,1
54,"Professional, Scientific, and Technical Services",3871,2011,1
52,Finance and Insurance,41316,2011,1
54,"Professional, Scientific, and Technical Services",10534,2011,1
52,Finance and Insurance,7671,2011,1
54,"Professional, Scientific, and Technical Services",3530,2011,1
52,Finance and Insurance,4888,2011,2
54,"Professional, Scientific, and Technical Services",3900,2011,2
52,Finance and Insurance,6002,2011,2
54,"Professional, Scientific, and Technical Services",4096,2011,2
52,Finance and Insurance,14650,2011,2
54,"Professional, Scientific, and Technical Services",9555,2011,2
52,Finance and Insurance,4844,2011,2
54,"Professional, Scientific, and Technical Services",3703,2011,2
52,Finance and Insurance,5031,2011,3
54,"Professional, Scientific, and Technical Services",4135,2011,3
52,Finance and Insurance,6660,2011,3
54,"Professional, Scientific, and Technical Services",4217,2011,3
52,Finance and Insurance,14465,2011,3
54,"Professional, Scientific, and Technical Services",9447,2011,3
52,Finance and Insurance,5256,2011,3
54,"Professional, Scientific, and Technical Services",3824,2011,3
52,Finance and Insurance,5392,2011,4
54,"Professional, Scientific, and Technical Services",4823,2011,4
52,Finance and Insurance,6656,2011,4
54,"Professional, Scientific, and Technical Services",4870,2011,4
52,Finance and Insurance,18833,2011,4
54,"Professional, Scientific, and Technical Services",11072,2011,4
52,Finance and Insurance,5441,2011,4
54,"Professional, Scientific, and Technical Services",4434,2011,4
52,Finance and Insurance,9060,2012,1
54,"Professional, Scientific, and Technical Services",3561,2012,1
52,Finance and Insurance,13151,2012,1
54,"Professional, Scientific, and Technical Services",4217,2012,1
52,Finance and Insurance,35516,2012,1
54,"Professional, Scientific, and Technical Services",10773,2012,1
52,Finance and Insurance,7030,2012,1
54,"Professional, Scientific, and Technical Services",3721,2012,1
52,Finance and Insurance,5267,2012,2
54,"Professional, Scientific, and Technical Services",3736,2012,2
52,Finance and Insurance,6509,2012,2
54,"Professional, Scientific, and Technical Services",4369,2012,2
52,Finance and Insurance,14803,2012,2
54,"Professional, Scientific, and Technical Services",9629,2012,2
52,Finance and Insurance,5157,2012,2
54,"Professional, Scientific, and Technical Services",3959,2012,2
52,Finance and Insurance,5023,2012,3
54,"Professional, Scientific, and Technical Services",3831,2012,3
52,Finance and Insurance,6522,2012,3
54,"Professional, Scientific, and Technical Services",4322,2012,3
52,Finance and Insurance,14023,2012,3
54,"Professional, Scientific, and Technical Services",9371,2012,3
52,Finance and Insurance,5004,2012,3
54,"Professional, Scientific, and Technical Services",3902,2012,3
52,Finance and Insurance,5505,2012,4
54,"Professional, Scientific, and Technical Services",4211,2012,4
52,Finance and Insurance,7223,2012,4
54,"Professional, Scientific, and Technical Services",5044,2012,4
52,Finance and Insurance,23968,2012,4
54,"Professional, Scientific, and Technical Services",11724,2012,4
52,Finance and Insurance,5712,2012,4
54,"Professional, Scientific, and Technical Services",4468,2012,4
52,Finance and Insurance,9610,2013,1
54,"Professional, Scientific, and Technical Services",3751,2013,1
52,Finance and Insurance,15036,2013,1
54,"Professional, Scientific, and Technical Services",4319,2013,1
52,Finance and Insurance,36032,2013,1
54,"Professional, Scientific, and Technical Services",10858,2013,1
52,Finance and Insurance,7652,2013,1
54,"Professional, Scientific, and Technical Services",3955,2013,1
52,Finance and Insurance,5590,2013,2
54,"Professional, Scientific, and Technical Services",3936,2013,2
52,Finance and Insurance,7013,2013,2
54,"Professional, Scientific, and Technical Services",4439,2013,2
52,Finance and Insurance,15444,2013,2
54,"Professional, Scientific, and Technical Services",9700,2013,2
52,Finance and Insurance,5257,2013,2
54,"Professional, Scientific, and Technical Services",3981,2013,2
52,Finance and Insurance,5287,2013,3
54,"Professional, Scientific, and Technical Services",3949,2013,3
52,Finance and Insurance,7029,2013,3
54,"Professional, Scientific, and Technical Services",4647,2013,3
52,Finance and Insurance,14562,2013,3
54,"Professional, Scientific, and Technical Services",9558,2013,3
52,Finance and Insurance,5055,2013,3
54,"Professional, Scientific, and Technical Services",4041,2013,3
52,Finance and Insurance,5733,2013,4
54,"Professional, Scientific, and Technical Services",4396,2013,4
52,Finance and Insurance,7567,2013,4
54,"Professional, Scientific, and Technical Services",5386,2013,4
52,Finance and Insurance,22498,2013,4
54,"Professional, Scientific, and Technical Services",11774,2013,4
52,Finance and Insurance,5805,2013,4
54,"Professional, Scientific, and Technical Services",4745,2013,4
52,Finance and Insurance,10202,2014,1
54,"Professional, Scientific, and Technical Services",3680,2014,1
52,Finance and Insurance,16119,2014,1
54,"Professional, Scientific, and Technical Services",4372,2014,1
52,Finance and Insurance,43838,2014,1
54,"Professional, Scientific, and Technical Services",11626,2014,1
52,Finance and Insurance,7950,2014,1
54,"Professional, Scientific, and Technical Services",4047,2014,1
52,Finance and Insurance,5653,2014,2
54,"Professional, Scientific, and Technical Services",4097,2014,2
52,Finance and Insurance,7128,2014,2
54,"Professional, Scientific, and Technical Services",4632,2014,2
52,Finance and Insurance,16157,2014,2
54,"Professional, Scientific, and Technical Services",9986,2014,2
52,Finance and Insurance,5317,2014,2
54,"Professional, Scientific, and Technical Services",4089,2014,2
52,Finance and Insurance,5741,2014,3
54,"Professional, Scientific, and Technical Services",3977,2014,3
52,Finance and Insurance,7340,2014,3
54,"Professional, Scientific, and Technical Services",4688,2014,3
52,Finance and Insurance,15277,2014,3
54,"Professional, Scientific, and Technical Services",10021,2014,3
52,Finance and Insurance,5061,2014,3
54,"Professional, Scientific, and Technical Services",4316,2014,3
52,Finance and Insurance,,2014,4
54,"Professional, Scientific, and Technical Services",,2014,4
52,Finance and Insurance,,2014,4
54,"Professional, Scientific, and Technical Services",,2014,4
52,Finance and Insurance,,2014,4
54,"Professional, Scientific, and Technical Services",,2014,4
52,Finance and Insurance,,2014,4
54,"Professional, Scientific, and Technical Services",,2014,4
